Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
energy,LR,22.01,17.21,17.69,19.48,85.11
energy,SVM,22.96,18.86,20.85,20.31,87.02
energy,KNN,28.02,21.0,24.14,21.18,84.92
energy,DT,23.95,19.16,20.42,21.7,84.61
energy,RF,30.01,23.3,24.82,25.34,87.94
energy,LDA,21.09,15.19,14.27,20.62,87.82
Average best distance,LR,15.95,12.76,11.09,25.87,86.74
Average best distance,SVM,22.1,15.81,13.94,24.21,87.12
Average best distance,KNN,34.14,15.37,14.94,18.07,84.9
Average best distance,DT,19.04,15.13,14.62,19.08,85.34
Average best distance,RF,22.99,18.28,21.38,24.39,87.59
Average best distance,LDA,30.01,6.71,4.63,12.27,82.6
Average mean distance,LR,18.95,13.3,17.96,18.96,88.16
Average mean distance,SVM,15.98,12.32,16.34,22.69,88.69
Average mean distance,KNN,30.04,18.12,20.75,19.78,83.97
Average mean distance,DT,19.96,18.07,19.73,23.0,86.47
Average mean distance,RF,22.94,18.06,23.54,21.81,86.88
Average mean distance,LDA,32.06,7.67,5.58,13.29,83.03
Average generation,LR,17.91,14.56,17.78,23.36,87.06
Average generation,SVM,13.93,13.77,13.76,22.62,89.42
Average generation,KNN,26.05,15.03,14.9,16.01,84.27
Average generation,DT,18.95,13.74,15.67,18.48,86.27
Average generation,RF,21.0,13.29,14.34,13.16,84.27
Average generation,LDA,31.05,9.39,7.11,14.97,83.19
