Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
correlation,LR,76.92,74.58,78.47,75.14,70.0
correlation,SVM,78.46,76.46,79.17,76.75,71.0
correlation,KNN,72.31,70.09,72.09,71.28,67.0
correlation,DT,72.31,70.34,73.94,71.0,67.0
correlation,RF,76.92,74.53,76.31,74.14,63.0
correlation,LDA,70.77,68.39,69.83,68.78,62.0
Average best distance,LR,60.0,59.54,63.56,63.47,75.0
Average best distance,SVM,69.23,67.48,69.07,69.06,67.0
Average best distance,KNN,70.77,68.88,70.85,70.31,67.0
Average best distance,DT,63.08,61.31,62.66,62.56,59.0
Average best distance,RF,66.15,64.64,66.61,66.56,67.0
Average best distance,LDA,60.0,47.51,53.41,51.06,16.0
Average mean distance,LR,61.54,59.84,61.17,61.42,62.0
Average mean distance,SVM,58.46,58.28,63.05,62.69,79.0
Average mean distance,KNN,58.46,52.5,54.57,52.89,33.0
Average mean distance,DT,56.92,52.71,55.7,53.89,45.0
Average mean distance,RF,56.92,53.78,54.87,57.56,59.0
Average mean distance,LDA,63.08,48.96,54.21,53.28,16.0
Average generation,LR,60.0,59.17,62.43,61.33,66.0
Average generation,SVM,63.08,61.98,63.64,63.83,66.0
Average generation,KNN,67.69,67.22,69.6,70.19,79.0
Average generation,DT,72.31,70.53,70.49,70.92,66.0
Average generation,RF,67.69,65.7,68.24,67.19,63.0
Average generation,LDA,58.46,44.24,44.58,48.78,12.0
