Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
energy,LR,55.33,54.29,54.95,54.7,48.57
energy,SVM,57.75,56.82,57.78,57.52,51.43
energy,KNN,57.67,57.15,57.95,57.74,57.14
energy,DT,60.5,59.54,61.87,61.23,68.57
energy,RF,58.92,57.7,58.93,58.49,51.43
energy,LDA,58.08,51.3,55.33,55.91,25.71
Average best distance,LR,57.92,53.5,57.6,56.31,34.29
Average best distance,SVM,67.08,66.44,67.26,66.53,60.0
Average best distance,KNN,61.83,61.11,63.01,61.85,62.86
Average best distance,DT,61.92,60.4,62.23,61.17,54.29
Average best distance,RF,61.75,60.49,65.12,62.06,68.57
Average best distance,LDA,53.92,36.96,32.01,50.18,2.86
Average mean distance,LR,51.5,51.28,52.01,51.9,57.14
Average mean distance,SVM,63.17,61.47,62.79,62.06,48.57
Average mean distance,KNN,65.83,63.92,66.13,64.56,48.57
Average mean distance,DT,63.17,62.32,63.3,62.78,60.0
Average mean distance,RF,64.5,63.38,65.28,64.21,62.86
Average mean distance,LDA,53.92,36.96,32.01,50.18,2.86
Average generation,LR,56.42,56.13,56.33,56.49,57.14
Average generation,SVM,69.5,69.2,71.17,70.14,80.0
Average generation,KNN,65.67,64.52,66.79,65.6,62.86
Average generation,DT,69.58,69.23,72.31,70.42,80.0
Average generation,RF,69.67,69.26,71.9,70.24,77.14
Average generation,LDA,51.25,35.77,31.34,47.68,2.86
