Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
homogeneity,LR,23.08,18.24,21.43,17.84,85.43
homogeneity,SVM,34.94,19.36,18.56,20.62,87.19
homogeneity,KNN,36.99,21.11,17.92,26.17,85.69
homogeneity,DT,27.99,19.09,20.2,18.96,86.06
homogeneity,RF,36.99,22.75,21.47,25.25,86.37
homogeneity,LDA,25.94,15.02,16.85,14.74,85.14
Average best distance,LR,15.03,8.56,9.26,12.24,84.57
Average best distance,SVM,17.97,17.86,18.32,25.11,86.18
Average best distance,KNN,36.9,20.22,19.89,25.05,85.27
Average best distance,DT,19.04,16.95,17.5,23.28,85.61
Average best distance,RF,26.0,18.45,22.58,23.35,85.27
Average best distance,LDA,35.0,10.49,8.46,15.37,83.84
Average mean distance,LR,16.84,13.77,12.99,22.42,85.73
Average mean distance,SVM,24.03,16.98,16.04,26.26,88.5
Average mean distance,KNN,32.03,20.56,22.74,21.45,85.49
Average mean distance,DT,27.04,21.34,23.99,26.53,86.25
Average mean distance,RF,28.05,19.83,20.6,22.04,85.34
Average mean distance,LDA,34.02,8.0,5.76,14.09,83.31
Average generation,LR,19.88,13.66,21.95,22.87,89.57
Average generation,SVM,13.84,8.91,9.7,19.5,89.77
Average generation,KNN,26.98,19.84,20.69,20.45,83.51
Average generation,DT,19.04,14.36,13.11,18.09,83.85
Average generation,RF,22.94,15.33,14.01,18.67,84.19
Average generation,LDA,34.08,9.32,8.01,14.38,83.37
