Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
correlation,LR,24.03,22.57,24.69,28.13,86.53
correlation,SVM,20.97,18.29,18.21,20.31,86.24
correlation,KNN,40.05,23.38,25.05,24.89,86.19
correlation,DT,21.0,20.66,25.77,26.54,86.15
correlation,RF,31.05,18.74,18.82,19.07,85.26
correlation,LDA,30.07,16.9,15.85,20.1,84.24
Average best distance,LR,27.99,18.79,16.36,24.82,87.85
Average best distance,SVM,24.03,22.65,24.95,29.24,87.69
Average best distance,KNN,30.01,20.34,22.18,21.57,84.27
Average best distance,DT,29.0,24.63,23.9,28.48,86.59
Average best distance,RF,27.99,24.57,23.93,27.89,85.76
Average best distance,LDA,38.95,12.51,11.02,17.19,84.85
Average mean distance,LR,24.09,14.12,14.17,21.63,86.61
Average mean distance,SVM,20.02,17.09,19.74,20.35,86.15
Average mean distance,KNN,34.05,22.11,22.9,24.91,86.03
Average mean distance,DT,26.11,24.46,24.67,30.19,86.32
Average mean distance,RF,31.13,26.4,28.74,31.58,86.5
Average mean distance,LDA,35.06,10.81,10.83,15.76,83.66
Average generation,LR,26.11,16.11,16.52,24.22,84.57
Average generation,SVM,25.13,19.37,20.18,25.01,85.74
Average generation,KNN,31.94,19.41,21.11,23.03,84.67
Average generation,DT,21.98,17.88,18.16,28.01,87.59
Average generation,RF,23.98,20.97,19.48,28.44,85.72
Average generation,LDA,35.95,13.64,12.38,18.02,84.48
