Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
contrast,LR,66.15,59.91,62.67,64.0,60.0
contrast,SVM,78.46,69.25,70.45,69.67,53.33
contrast,KNN,84.62,71.64,76.45,71.33,46.67
contrast,DT,73.85,62.37,63.64,62.0,40.0
contrast,RF,81.54,68.26,71.25,69.33,46.67
contrast,LDA,67.69,52.72,53.64,53.33,26.67
Average best distance,LR,53.85,46.91,49.71,49.0,40.0
Average best distance,SVM,53.85,46.45,49.56,49.0,40.0
Average best distance,KNN,64.62,52.4,52.53,53.67,33.33
Average best distance,DT,58.46,51.61,53.45,54.33,46.67
Average best distance,RF,61.54,48.57,48.66,49.33,26.67
Average best distance,LDA,76.92,43.48,38.46,50.0,0.0
Average mean distance,LR,53.85,50.5,54.44,56.0,60.0
Average mean distance,SVM,47.69,46.39,60.94,61.33,86.67
Average mean distance,KNN,60.0,48.33,48.83,48.33,26.67
Average mean distance,DT,55.38,49.15,54.52,54.67,53.33
Average mean distance,RF,60.0,53.01,54.15,55.33,46.67
Average mean distance,LDA,76.92,43.48,38.46,50.0,0.0
Average generation,LR,55.38,48.74,51.68,52.33,46.67
Average generation,SVM,73.85,57.1,61.89,57.33,26.67
Average generation,KNN,70.77,57.77,62.6,57.67,33.33
Average generation,DT,58.46,54.76,60.57,61.33,66.67
Average generation,RF,70.77,59.72,65.03,60.0,40.0
Average generation,LDA,76.92,43.48,38.46,50.0,0.0
