Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
contrast,LR,66.15,59.91,62.67,64.0,60.0
contrast,SVM,78.46,69.25,70.45,69.67,53.33
contrast,KNN,84.62,71.64,76.45,71.33,46.67
contrast,DT,73.85,62.37,63.64,62.0,40.0
contrast,RF,81.54,68.26,71.25,69.33,46.67
contrast,LDA,67.69,52.72,53.64,53.33,26.67
Average best distance,LR,50.77,45.25,52.78,51.67,53.33
Average best distance,SVM,60.0,46.46,46.92,48.33,26.67
Average best distance,KNN,67.69,57.36,59.26,58.0,40.0
Average best distance,DT,56.92,53.02,57.81,60.33,66.67
Average best distance,RF,69.23,61.98,63.45,63.67,53.33
Average best distance,LDA,76.92,43.48,38.46,50.0,0.0
Average mean distance,LR,52.31,49.13,55.8,57.33,66.67
Average mean distance,SVM,58.46,54.54,58.25,61.33,66.67
Average mean distance,KNN,72.31,63.68,64.2,65.67,53.33
Average mean distance,DT,64.62,56.86,59.46,60.67,53.33
Average mean distance,RF,72.31,62.58,63.64,63.33,46.67
Average mean distance,LDA,76.92,43.48,38.46,50.0,0.0
Average generation,LR,60.0,53.71,55.56,57.67,53.33
Average generation,SVM,72.31,60.84,61.86,61.0,40.0
Average generation,KNN,73.85,49.48,47.4,52.67,13.33
Average generation,DT,72.31,60.59,61.78,61.0,40.0
Average generation,RF,72.31,59.14,60.36,58.67,33.33
Average generation,LDA,76.92,43.48,38.46,50.0,0.0
