Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
energy,LR,75.38,64.12,64.81,67.67,53.33
energy,SVM,80.0,75.18,74.42,77.67,73.33
energy,KNN,83.08,64.67,68.48,65.67,33.33
energy,DT,70.77,66.8,68.43,74.0,80.0
energy,RF,72.31,67.03,67.2,72.67,73.33
energy,LDA,80.0,65.93,69.87,68.33,46.67
Average best distance,LR,63.08,56.9,59.24,62.0,60.0
Average best distance,SVM,72.31,65.18,69.08,68.0,60.0
Average best distance,KNN,70.77,61.17,61.57,62.33,46.67
Average best distance,DT,61.54,59.03,66.56,70.33,86.67
Average best distance,RF,64.62,61.66,67.81,72.33,86.67
Average best distance,LDA,75.38,46.84,43.76,51.33,6.67
Average mean distance,LR,67.69,64.14,66.27,72.0,80.0
Average mean distance,SVM,73.85,69.42,72.52,73.67,73.33
Average mean distance,KNN,72.31,61.55,62.52,61.0,40.0
Average mean distance,DT,69.23,62.53,62.63,66.0,60.0
Average mean distance,RF,66.15,62.15,63.89,68.67,73.33
Average mean distance,LDA,75.38,51.67,54.17,53.67,13.33
Average generation,LR,60.0,52.0,58.71,57.67,53.33
Average generation,SVM,67.69,62.47,65.87,69.67,73.33
Average generation,KNN,76.92,64.71,66.55,64.0,40.0
Average generation,DT,70.77,65.62,67.28,71.67,73.33
Average generation,RF,75.38,66.02,67.1,67.67,53.33
Average generation,LDA,73.85,45.6,41.91,50.33,6.67
