Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
correlation,LR,70.77,56.76,56.53,62.33,46.67
correlation,SVM,69.23,57.16,57.58,59.0,40.0
correlation,KNN,75.38,58.51,58.37,60.67,33.33
correlation,DT,75.38,64.19,66.63,65.33,46.67
correlation,RF,64.62,50.92,51.26,56.0,40.0
correlation,LDA,72.31,54.79,53.23,58.67,33.33
Average best distance,LR,53.85,46.45,52.65,51.33,46.67
Average best distance,SVM,61.54,57.94,61.35,65.67,73.33
Average best distance,KNN,81.54,63.54,75.87,62.33,26.67
Average best distance,DT,66.15,60.26,63.34,66.33,66.67
Average best distance,RF,69.23,61.85,62.32,66.0,60.0
Average best distance,LDA,76.92,43.48,38.46,50.0,0.0
Average mean distance,LR,56.92,42.33,44.48,48.67,33.33
Average mean distance,SVM,53.85,50.87,59.23,60.67,73.33
Average mean distance,KNN,63.08,56.45,57.18,59.67,53.33
Average mean distance,DT,63.08,55.22,55.83,57.33,46.67
Average mean distance,RF,70.77,58.17,60.1,57.67,33.33
Average mean distance,LDA,76.92,43.48,38.46,50.0,0.0
Average generation,LR,46.15,43.91,50.72,51.0,60.0
Average generation,SVM,60.0,56.53,61.08,64.67,73.33
Average generation,KNN,70.77,65.54,65.34,69.33,66.67
Average generation,DT,66.15,59.45,61.71,64.0,60.0
Average generation,RF,70.77,60.29,59.91,64.67,53.33
Average generation,LDA,76.92,43.48,38.46,50.0,0.0
