Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
homogeneity,LR,63.08,50.25,51.02,50.33,26.67
homogeneity,SVM,81.54,67.42,81.36,64.67,33.33
homogeneity,KNN,80.0,71.1,77.24,70.67,53.33
homogeneity,DT,76.92,68.27,68.68,68.67,53.33
homogeneity,RF,81.54,73.69,77.44,74.0,60.0
homogeneity,LDA,69.23,51.04,50.62,52.0,20.0
Average best distance,LR,47.69,43.03,48.46,47.33,46.67
Average best distance,SVM,72.31,63.3,64.29,63.33,46.67
Average best distance,KNN,76.92,61.84,66.02,61.67,33.33
Average best distance,DT,63.08,59.19,62.01,66.67,73.33
Average best distance,RF,66.15,57.12,59.89,59.33,46.67
Average best distance,LDA,76.92,43.48,38.46,50.0,0.0
Average mean distance,LR,61.54,54.98,56.4,58.67,53.33
Average mean distance,SVM,63.08,53.74,55.42,55.0,40.0
Average mean distance,KNN,76.92,55.11,54.93,57.0,20.0
Average mean distance,DT,66.15,56.32,57.13,57.0,40.0
Average mean distance,RF,67.69,57.31,58.89,58.0,40.0
Average mean distance,LDA,76.92,43.48,38.46,50.0,0.0
Average generation,LR,52.31,48.98,53.53,55.0,60.0
Average generation,SVM,63.08,56.99,60.06,62.0,60.0
Average generation,KNN,80.0,60.73,67.53,61.33,26.67
Average generation,DT,64.62,54.18,59.76,56.0,40.0
Average generation,RF,67.69,58.4,60.58,60.33,46.67
Average generation,LDA,76.92,43.48,38.46,50.0,0.0
