classification_type,glcm_feature,additional_feature,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,max_no_of_rois
cancer_stage,homogeneity,average_mean_absolute_distance_results,gini,10,sqrt,1,2,25,20
early_vs_late_stage,homogeneity,average_mean_absolute_distance_results,gini,5,sqrt,20,2,100,20
ptc_vs_mibc,homogeneity,average_mean_absolute_distance_results,gini,5,sqrt,5,20,10,20
cancer_invasion,contrast,average_best_absolute_distance_results,gini,5,sqrt,20,2,500,20
cancer_stage,contrast,average_best_absolute_distance_results,entropy,5,sqrt,1,5,10,20
early_vs_late_stage,contrast,average_best_absolute_distance_results,gini,5,sqrt,20,2,25,20
ptc_vs_mibc,contrast,average_best_absolute_distance_results,gini,5,sqrt,50,2,200,20
cancer_invasion,contrast,average_generation_absolute_distance_results,gini,5,sqrt,20,2,50,20
cancer_stage,contrast,average_generation_absolute_distance_results,entropy,5,sqrt,1,20,10,20
early_vs_late_stage,contrast,average_generation_absolute_distance_results,gini,5,sqrt,20,2,200,20
ptc_vs_mibc,contrast,average_generation_absolute_distance_results,gini,5,sqrt,50,2,10,20
cancer_invasion,contrast,average_mean_absolute_distance_results,gini,5,sqrt,20,2,100,20
cancer_stage,contrast,average_mean_absolute_distance_results,gini,10,sqrt,1,2,25,20
early_vs_late_stage,contrast,average_mean_absolute_distance_results,gini,5,sqrt,20,2,500,20
ptc_vs_mibc,contrast,average_mean_absolute_distance_results,gini,5,sqrt,1,2,25,20
cancer_invasion,dissimilarity,average_best_absolute_distance_results,gini,5,sqrt,20,2,500,30
cancer_stage,dissimilarity,average_best_absolute_distance_results,entropy,5,sqrt,10,2,10,30
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,gini,5,sqrt,20,2,10,30
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,gini,5,sqrt,20,2,500,30
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,gini,5,sqrt,20,2,100,30
cancer_stage,dissimilarity,average_generation_absolute_distance_results,gini,5,sqrt,1,10,500,30
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,gini,5,sqrt,20,2,25,30
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,entropy,5,sqrt,1,2,25,30
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,gini,5,sqrt,20,2,500,30
cancer_stage,dissimilarity,average_mean_absolute_distance_results,gini,5,sqrt,1,2,25,30
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,gini,5,sqrt,20,2,500,30
