classification_type,glcm_feature,additional_feature,criterion,max_depth,min_samples_leaf,min_samples_split,max_no_of_rois
cancer_invasion,dissimilarity,,gini,3,1,2,10
cancer_stage,dissimilarity,,entropy,7,1,4,10
early_vs_late_stage,dissimilarity,,gini,3,1,2,10
ptc_vs_mibc,dissimilarity,,entropy,7,1,8,10
cancer_invasion,dissimilarity,average_best_absolute_distance_results,entropy,1,11,2,10
cancer_stage,dissimilarity,average_best_absolute_distance_results,gini,4,1,2,10
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,entropy,3,1,8,10
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,gini,3,11,2,10
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,entropy,4,7,2,10
cancer_stage,dissimilarity,average_generation_absolute_distance_results,entropy,8,1,4,10
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,gini,3,1,8,10
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,gini,2,1,2,10
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,gini,4,5,12,10
cancer_stage,dissimilarity,average_mean_absolute_distance_results,gini,7,1,2,10
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,entropy,2,1,2,10
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,entropy,3,11,2,10
cancer_invasion,dissimilarity,,gini,3,1,2,20
cancer_stage,dissimilarity,,entropy,7,1,4,20
early_vs_late_stage,dissimilarity,,gini,3,1,2,20
ptc_vs_mibc,dissimilarity,,entropy,7,1,8,20
cancer_invasion,dissimilarity,average_best_absolute_distance_results,entropy,6,3,8,20
cancer_stage,dissimilarity,average_best_absolute_distance_results,entropy,9,1,2,20
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,gini,3,1,4,20
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,entropy,1,19,2,20
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,entropy,6,3,10,20
cancer_stage,dissimilarity,average_generation_absolute_distance_results,gini,8,1,6,20
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,entropy,1,9,2,20
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,gini,7,5,12,20
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,entropy,9,1,16,20
cancer_stage,dissimilarity,average_mean_absolute_distance_results,gini,8,1,6,20
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,entropy,1,13,2,20
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,entropy,2,17,2,20
cancer_invasion,dissimilarity,,gini,3,1,2,30
cancer_stage,dissimilarity,,entropy,7,1,4,30
early_vs_late_stage,dissimilarity,,gini,3,1,2,30
ptc_vs_mibc,dissimilarity,,entropy,7,1,8,30
cancer_invasion,dissimilarity,average_best_absolute_distance_results,entropy,1,17,2,30
cancer_stage,dissimilarity,average_best_absolute_distance_results,entropy,3,5,2,30
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,entropy,1,7,2,30
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,entropy,2,3,2,30
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,entropy,3,1,2,30
cancer_stage,dissimilarity,average_generation_absolute_distance_results,gini,6,3,12,30
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,entropy,1,13,2,30
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,gini,8,1,4,30
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,gini,5,3,12,30
cancer_stage,dissimilarity,average_mean_absolute_distance_results,gini,7,3,2,30
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,gini,9,1,2,30
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,entropy,3,11,2,30
cancer_invasion,dissimilarity,,gini,3,1,2,40
