classification_type,glcm_feature,additional_feature,metric,n_neighbors,p,weights,max_no_of_rois
cancer_invasion,dissimilarity,,manhattan,8,1,uniform,10
cancer_stage,dissimilarity,,manhattan,9,1,distance,10
early_vs_late_stage,dissimilarity,,manhattan,6,1,uniform,10
ptc_vs_mibc,dissimilarity,,euclidean,5,1,distance,10
cancer_invasion,dissimilarity,average_best_absolute_distance_results,euclidean,4,1,uniform,10
cancer_stage,dissimilarity,average_best_absolute_distance_results,euclidean,18,1,uniform,10
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,euclidean,3,1,uniform,10
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,euclidean,17,1,uniform,10
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,euclidean,7,1,uniform,10
cancer_stage,dissimilarity,average_generation_absolute_distance_results,euclidean,8,1,distance,10
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,euclidean,5,1,uniform,10
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,euclidean,9,1,uniform,10
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,euclidean,6,1,uniform,10
cancer_stage,dissimilarity,average_mean_absolute_distance_results,euclidean,11,1,uniform,10
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,euclidean,5,1,uniform,10
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,euclidean,19,1,uniform,10
cancer_invasion,dissimilarity,,manhattan,8,1,uniform,20
cancer_stage,dissimilarity,,manhattan,9,1,distance,20
early_vs_late_stage,dissimilarity,,manhattan,6,1,uniform,20
ptc_vs_mibc,dissimilarity,,euclidean,5,1,distance,20
cancer_invasion,dissimilarity,average_best_absolute_distance_results,euclidean,10,1,uniform,20
cancer_stage,dissimilarity,average_best_absolute_distance_results,euclidean,21,1,distance,20
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,euclidean,4,1,uniform,20
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,euclidean,23,1,uniform,20
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,euclidean,11,1,distance,20
cancer_stage,dissimilarity,average_generation_absolute_distance_results,euclidean,5,1,uniform,20
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,euclidean,5,1,uniform,20
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,euclidean,7,1,uniform,20
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,euclidean,10,1,uniform,20
cancer_stage,dissimilarity,average_mean_absolute_distance_results,euclidean,6,1,uniform,20
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,euclidean,3,1,uniform,20
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,euclidean,20,1,uniform,20
cancer_invasion,dissimilarity,,manhattan,8,1,uniform,30
cancer_stage,dissimilarity,,manhattan,9,1,distance,30
early_vs_late_stage,dissimilarity,,manhattan,6,1,uniform,30
ptc_vs_mibc,dissimilarity,,euclidean,5,1,distance,30
cancer_invasion,dissimilarity,average_best_absolute_distance_results,euclidean,11,1,uniform,30
cancer_stage,dissimilarity,average_best_absolute_distance_results,euclidean,16,1,distance,30
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,euclidean,3,1,uniform,30
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,euclidean,25,1,uniform,30
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,euclidean,2,1,distance,30
cancer_stage,dissimilarity,average_generation_absolute_distance_results,euclidean,8,1,uniform,30
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,euclidean,23,1,distance,30
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,euclidean,6,1,distance,30
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,euclidean,11,1,distance,30
cancer_stage,dissimilarity,average_mean_absolute_distance_results,euclidean,5,1,distance,30
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,euclidean,2,1,distance,30
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,euclidean,11,1,uniform,30
cancer_invasion,dissimilarity,,manhattan,8,1,uniform,40
cancer_stage,dissimilarity,,manhattan,9,1,distance,40
early_vs_late_stage,dissimilarity,,manhattan,6,1,uniform,40
ptc_vs_mibc,dissimilarity,,euclidean,5,1,distance,40
cancer_invasion,dissimilarity,average_best_absolute_distance_results,euclidean,8,1,uniform,40
cancer_stage,dissimilarity,average_best_absolute_distance_results,euclidean,20,1,uniform,40
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,euclidean,3,1,uniform,40
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,euclidean,14,1,uniform,40
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,euclidean,5,1,uniform,40
cancer_stage,dissimilarity,average_generation_absolute_distance_results,euclidean,6,1,uniform,40
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,euclidean,6,1,uniform,40
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,euclidean,23,1,uniform,40
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,euclidean,18,1,uniform,40
cancer_stage,dissimilarity,average_mean_absolute_distance_results,euclidean,5,1,distance,40
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,euclidean,4,1,distance,40
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,euclidean,20,1,uniform,40
cancer_invasion,dissimilarity,,manhattan,8,1,uniform,50
cancer_stage,dissimilarity,,manhattan,9,1,distance,50
early_vs_late_stage,dissimilarity,,manhattan,6,1,uniform,50
ptc_vs_mibc,dissimilarity,,euclidean,5,1,distance,50
cancer_invasion,dissimilarity,average_best_absolute_distance_results,euclidean,6,1,distance,50
cancer_stage,dissimilarity,average_best_absolute_distance_results,euclidean,9,1,distance,50
early_vs_late_stage,dissimilarity,average_best_absolute_distance_results,euclidean,7,1,distance,50
ptc_vs_mibc,dissimilarity,average_best_absolute_distance_results,euclidean,27,1,uniform,50
cancer_invasion,dissimilarity,average_generation_absolute_distance_results,euclidean,11,1,uniform,50
cancer_stage,dissimilarity,average_generation_absolute_distance_results,euclidean,17,1,uniform,50
early_vs_late_stage,dissimilarity,average_generation_absolute_distance_results,euclidean,2,1,distance,50
ptc_vs_mibc,dissimilarity,average_generation_absolute_distance_results,euclidean,16,1,uniform,50
cancer_invasion,dissimilarity,average_mean_absolute_distance_results,euclidean,21,1,distance,50
cancer_stage,dissimilarity,average_mean_absolute_distance_results,euclidean,4,1,distance,50
early_vs_late_stage,dissimilarity,average_mean_absolute_distance_results,euclidean,24,1,distance,50
ptc_vs_mibc,dissimilarity,average_mean_absolute_distance_results,euclidean,12,1,uniform,50
cancer_invasion,correlation,,manhattan,6,1,uniform,10
cancer_stage,correlation,,manhattan,5,1,uniform,10
early_vs_late_stage,correlation,,manhattan,4,1,uniform,10
ptc_vs_mibc,correlation,,euclidean,5,1,uniform,10
cancer_invasion,correlation,average_best_absolute_distance_results,euclidean,10,1,uniform,10
cancer_stage,correlation,average_best_absolute_distance_results,euclidean,4,1,uniform,10
early_vs_late_stage,correlation,average_best_absolute_distance_results,euclidean,15,1,uniform,10
ptc_vs_mibc,correlation,average_best_absolute_distance_results,euclidean,10,1,uniform,10
cancer_invasion,correlation,average_generation_absolute_distance_results,euclidean,16,1,uniform,10
cancer_stage,correlation,average_generation_absolute_distance_results,euclidean,3,1,uniform,10
early_vs_late_stage,correlation,average_generation_absolute_distance_results,euclidean,11,1,distance,10
ptc_vs_mibc,correlation,average_generation_absolute_distance_results,euclidean,28,1,uniform,10
cancer_invasion,correlation,average_mean_absolute_distance_results,euclidean,12,1,distance,10
cancer_stage,correlation,average_mean_absolute_distance_results,euclidean,6,1,uniform,10
early_vs_late_stage,correlation,average_mean_absolute_distance_results,euclidean,4,1,uniform,10
ptc_vs_mibc,correlation,average_mean_absolute_distance_results,euclidean,11,1,uniform,10
cancer_invasion,correlation,,manhattan,6,1,uniform,20
cancer_stage,correlation,,manhattan,5,1,uniform,20
early_vs_late_stage,correlation,,manhattan,4,1,uniform,20
ptc_vs_mibc,correlation,,euclidean,5,1,uniform,20
cancer_invasion,correlation,average_best_absolute_distance_results,euclidean,10,1,uniform,20
cancer_stage,correlation,average_best_absolute_distance_results,euclidean,6,1,distance,20
early_vs_late_stage,correlation,average_best_absolute_distance_results,euclidean,12,1,distance,20
ptc_vs_mibc,correlation,average_best_absolute_distance_results,euclidean,26,1,uniform,20
cancer_invasion,correlation,average_generation_absolute_distance_results,euclidean,10,1,uniform,20
cancer_stage,correlation,average_generation_absolute_distance_results,euclidean,2,1,uniform,20
early_vs_late_stage,correlation,average_generation_absolute_distance_results,euclidean,2,1,uniform,20
ptc_vs_mibc,correlation,average_generation_absolute_distance_results,euclidean,9,1,uniform,20
cancer_invasion,correlation,average_mean_absolute_distance_results,euclidean,9,1,uniform,20
cancer_stage,correlation,average_mean_absolute_distance_results,euclidean,20,1,distance,20
early_vs_late_stage,correlation,average_mean_absolute_distance_results,euclidean,7,1,uniform,20
ptc_vs_mibc,correlation,average_mean_absolute_distance_results,euclidean,4,1,uniform,20
cancer_invasion,correlation,,manhattan,6,1,uniform,30
cancer_stage,correlation,,manhattan,5,1,uniform,30
early_vs_late_stage,correlation,,manhattan,4,1,uniform,30
ptc_vs_mibc,correlation,,euclidean,5,1,uniform,30
cancer_invasion,correlation,average_best_absolute_distance_results,euclidean,3,1,uniform,30
cancer_stage,correlation,average_best_absolute_distance_results,euclidean,7,1,distance,30
early_vs_late_stage,correlation,average_best_absolute_distance_results,euclidean,8,1,uniform,30
ptc_vs_mibc,correlation,average_best_absolute_distance_results,euclidean,14,1,uniform,30
cancer_invasion,correlation,average_generation_absolute_distance_results,euclidean,8,1,uniform,30
cancer_stage,correlation,average_generation_absolute_distance_results,euclidean,2,1,distance,30
early_vs_late_stage,correlation,average_generation_absolute_distance_results,euclidean,8,1,uniform,30
ptc_vs_mibc,correlation,average_generation_absolute_distance_results,euclidean,18,1,uniform,30
cancer_invasion,correlation,average_mean_absolute_distance_results,euclidean,12,1,uniform,30
cancer_stage,correlation,average_mean_absolute_distance_results,euclidean,2,1,uniform,30
early_vs_late_stage,correlation,average_mean_absolute_distance_results,euclidean,2,1,uniform,30
ptc_vs_mibc,correlation,average_mean_absolute_distance_results,euclidean,8,1,uniform,30
cancer_invasion,correlation,,manhattan,6,1,uniform,40
cancer_stage,correlation,,manhattan,5,1,uniform,40
early_vs_late_stage,correlation,,manhattan,4,1,uniform,40
ptc_vs_mibc,correlation,,euclidean,5,1,uniform,40
cancer_invasion,correlation,average_best_absolute_distance_results,euclidean,9,1,uniform,40
cancer_stage,correlation,average_best_absolute_distance_results,euclidean,10,1,distance,40
early_vs_late_stage,correlation,average_best_absolute_distance_results,euclidean,6,1,uniform,40
ptc_vs_mibc,correlation,average_best_absolute_distance_results,euclidean,7,1,distance,40
cancer_invasion,correlation,average_generation_absolute_distance_results,euclidean,4,1,uniform,40
cancer_stage,correlation,average_generation_absolute_distance_results,euclidean,3,1,uniform,40
early_vs_late_stage,correlation,average_generation_absolute_distance_results,euclidean,2,1,uniform,40
ptc_vs_mibc,correlation,average_generation_absolute_distance_results,euclidean,2,1,uniform,40
cancer_invasion,correlation,average_mean_absolute_distance_results,euclidean,20,1,uniform,40
cancer_stage,correlation,average_mean_absolute_distance_results,euclidean,7,1,uniform,40
early_vs_late_stage,correlation,average_mean_absolute_distance_results,euclidean,6,1,uniform,40
ptc_vs_mibc,correlation,average_mean_absolute_distance_results,euclidean,11,1,uniform,40
cancer_invasion,correlation,,manhattan,6,1,uniform,50
cancer_stage,correlation,,manhattan,5,1,uniform,50
early_vs_late_stage,correlation,,manhattan,4,1,uniform,50
ptc_vs_mibc,correlation,,euclidean,5,1,uniform,50
cancer_invasion,correlation,average_best_absolute_distance_results,euclidean,8,1,uniform,50
cancer_stage,correlation,average_best_absolute_distance_results,euclidean,11,1,distance,50
early_vs_late_stage,correlation,average_best_absolute_distance_results,euclidean,7,1,uniform,50
ptc_vs_mibc,correlation,average_best_absolute_distance_results,euclidean,28,1,uniform,50
cancer_invasion,correlation,average_generation_absolute_distance_results,euclidean,2,1,uniform,50
cancer_stage,correlation,average_generation_absolute_distance_results,euclidean,2,1,uniform,50
