Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
energy,LR,70.77,67.92,70.23,68.64,62.0
energy,SVM,73.85,69.99,71.3,69.89,57.0
energy,KNN,73.85,68.18,72.88,67.64,45.0
energy,DT,70.77,67.54,73.6,68.75,65.0
energy,RF,69.23,65.65,66.53,65.53,53.0
energy,LDA,73.85,68.29,74.14,68.25,49.0
Average best distance,LR,72.31,67.86,69.69,67.89,53.0
Average best distance,SVM,72.31,71.57,73.64,74.31,80.0
Average best distance,KNN,75.38,73.3,76.37,75.31,72.0
Average best distance,DT,73.85,72.52,75.64,74.94,76.0
Average best distance,RF,76.92,75.36,77.8,77.17,76.0
Average best distance,LDA,73.85,68.77,73.6,68.39,49.0
Average mean distance,LR,69.23,66.8,67.82,67.53,62.0
Average mean distance,SVM,73.85,70.26,72.28,69.78,54.0
Average mean distance,KNN,72.31,68.86,70.5,68.53,54.0
Average mean distance,DT,72.31,67.71,69.97,67.78,50.0
Average mean distance,RF,72.31,69.36,70.24,69.28,58.0
Average mean distance,LDA,66.15,50.14,54.77,55.5,16.0
Average generation,LR,72.31,69.73,70.2,70.03,62.0
Average generation,SVM,70.77,69.48,70.59,70.92,71.0
Average generation,KNN,73.85,71.0,72.2,71.28,62.0
Average generation,DT,69.23,66.99,67.73,67.67,62.0
Average generation,RF,67.69,65.89,66.71,66.92,63.0
Average generation,LDA,70.77,62.98,63.15,65.03,42.0
