Feature,Classifier,Accuracy,F1-score,Precision,Sensitivity,Specificity
contrast,LR,63.08,61.13,63.83,63.14,66.0
contrast,SVM,66.15,65.42,67.71,69.03,80.0
contrast,KNN,61.54,59.49,60.12,59.92,54.0
contrast,DT,69.23,66.8,67.2,66.78,58.0
contrast,RF,66.15,63.65,64.29,63.92,57.0
contrast,LDA,64.62,56.5,67.92,57.75,33.0
Average best distance,LR,56.92,55.45,56.71,55.94,53.0
Average best distance,SVM,63.08,58.7,62.37,59.03,45.0
Average best distance,KNN,61.54,57.65,59.51,58.19,45.0
Average best distance,DT,66.15,60.72,69.58,61.56,42.0
Average best distance,RF,64.62,61.15,63.48,61.06,46.0
Average best distance,LDA,63.08,41.81,41.79,50.89,4.0
Average mean distance,LR,63.08,61.57,63.14,63.42,66.0
Average mean distance,SVM,58.46,58.24,63.83,63.44,83.0
Average mean distance,KNN,55.38,48.0,49.1,49.39,26.0
Average mean distance,DT,55.38,54.04,55.75,56.44,59.0
Average mean distance,RF,56.92,55.77,58.61,59.06,67.0
Average mean distance,LDA,61.54,47.85,48.91,52.03,16.0
Average generation,LR,63.08,61.26,62.17,61.92,58.0
Average generation,SVM,69.23,66.06,67.85,67.67,62.0
Average generation,KNN,60.0,54.74,54.77,57.92,50.0
Average generation,DT,63.08,61.38,63.9,64.17,70.0
Average generation,RF,63.08,59.21,60.75,62.67,62.0
Average generation,LDA,63.08,38.66,31.54,50.0,0.0
