,angle,distance,homogeneity
11,1.5707963267948966,2,[0.59160334]
12,1.5707963267948966,3,[0.56417069]
13,1.5707963267948966,4,[0.55293289]
14,1.5707963267948966,5,[0.54476083]
15,4.71238898038469,1,[0.69856398]
16,4.71238898038469,2,[0.59160334]
17,4.71238898038469,3,[0.56417069]
18,4.71238898038469,4,[0.55293289]
19,4.71238898038469,5,[0.54476083]
0,0.0,1,[0.64650276]
1,0.0,2,[0.53614067]
2,0.0,3,[0.52471355]
3,0.0,4,[0.52844025]
4,0.0,5,[0.53159283]
5,0.7853981633974483,1,[0.61782602]
6,0.7853981633974483,2,[0.61782602]
7,0.7853981633974483,3,[0.55008457]
8,0.7853981633974483,4,[0.52670345]
9,0.7853981633974483,5,[0.50720922]
10,1.5707963267948966,1,[0.66009712]
11,1.5707963267948966,2,[0.54615782]
12,1.5707963267948966,3,[0.50946725]
13,1.5707963267948966,4,[0.49877876]
14,1.5707963267948966,5,[0.49660688]
15,4.71238898038469,1,[0.66009712]
16,4.71238898038469,2,[0.54615782]
17,4.71238898038469,3,[0.50946725]
18,4.71238898038469,4,[0.49877876]
19,4.71238898038469,5,[0.49660688]
0,0.0,1,[0.56359998]
1,0.0,2,[0.44548325]
2,0.0,3,[0.41823343]
3,0.0,4,[0.38912895]
4,0.0,5,[0.36705062]
5,0.7853981633974483,1,[0.5353036]
6,0.7853981633974483,2,[0.5353036]
7,0.7853981633974483,3,[0.46162297]
8,0.7853981633974483,4,[0.44029461]
9,0.7853981633974483,5,[0.43152401]
10,1.5707963267948966,1,[0.57006036]
11,1.5707963267948966,2,[0.45181937]
12,1.5707963267948966,3,[0.44315756]
13,1.5707963267948966,4,[0.43094837]
14,1.5707963267948966,5,[0.41129117]
15,4.71238898038469,1,[0.57006036]
16,4.71238898038469,2,[0.45181937]
17,4.71238898038469,3,[0.44315756]
18,4.71238898038469,4,[0.43094837]
19,4.71238898038469,5,[0.41129117]
0,0.0,1,[0.79180727]
1,0.0,2,[0.71740468]
2,0.0,3,[0.7069868]
3,0.0,4,[0.70391647]
4,0.0,5,[0.70097971]
5,0.7853981633974483,1,[0.83513331]
6,0.7853981633974483,2,[0.83513331]
7,0.7853981633974483,3,[0.76946443]
8,0.7853981633974483,4,[0.74064434]
9,0.7853981633974483,5,[0.72425924]
10,1.5707963267948966,1,[0.80759434]
11,1.5707963267948966,2,[0.73354625]
12,1.5707963267948966,3,[0.71817625]
13,1.5707963267948966,4,[0.70981357]
14,1.5707963267948966,5,[0.70577909]
15,4.71238898038469,1,[0.80759434]
16,4.71238898038469,2,[0.73354625]
17,4.71238898038469,3,[0.71817625]
18,4.71238898038469,4,[0.70981357]
19,4.71238898038469,5,[0.70577909]
0,0.0,1,[0.74854671]
1,0.0,2,[0.67158365]
2,0.0,3,[0.66570427]
3,0.0,4,[0.66460875]
4,0.0,5,[0.66972364]
5,0.7853981633974483,1,[0.76836849]
6,0.7853981633974483,2,[0.76836849]
7,0.7853981633974483,3,[0.70870861]
8,0.7853981633974483,4,[0.69222427]
9,0.7853981633974483,5,[0.68209991]
10,1.5707963267948966,1,[0.79132675]
11,1.5707963267948966,2,[0.70272222]
12,1.5707963267948966,3,[0.67272957]
13,1.5707963267948966,4,[0.66148907]
14,1.5707963267948966,5,[0.6602363]
15,4.71238898038469,1,[0.79132675]
16,4.71238898038469,2,[0.70272222]
17,4.71238898038469,3,[0.67272957]
18,4.71238898038469,4,[0.66148907]
19,4.71238898038469,5,[0.6602363]
0,0.0,1,[0.51677106]
1,0.0,2,[0.42768649]
2,0.0,3,[0.40025082]
3,0.0,4,[0.37980922]
4,0.0,5,[0.36941162]
5,0.7853981633974483,1,[0.43127499]
6,0.7853981633974483,2,[0.43127499]
7,0.7853981633974483,3,[0.37236055]
8,0.7853981633974483,4,[0.36107086]
9,0.7853981633974483,5,[0.34200853]
10,1.5707963267948966,1,[0.4441974]
11,1.5707963267948966,2,[0.38970769]
12,1.5707963267948966,3,[0.3908841]
13,1.5707963267948966,4,[0.37784936]
14,1.5707963267948966,5,[0.36831315]
15,4.71238898038469,1,[0.4441974]
16,4.71238898038469,2,[0.38970769]
17,4.71238898038469,3,[0.3908841]
18,4.71238898038469,4,[0.37784936]
19,4.71238898038469,5,[0.36831315]
0,0.0,1,[0.73452019]
1,0.0,2,[0.6739555]
2,0.0,3,[0.66193314]
3,0.0,4,[0.66626521]
4,0.0,5,[0.66888228]
5,0.7853981633974483,1,[0.77481125]
6,0.7853981633974483,2,[0.77481125]
7,0.7853981633974483,3,[0.70588888]
8,0.7853981633974483,4,[0.67539032]
9,0.7853981633974483,5,[0.66065194]
10,1.5707963267948966,1,[0.72691639]
11,1.5707963267948966,2,[0.669062]
12,1.5707963267948966,3,[0.66946838]
13,1.5707963267948966,4,[0.66797774]
14,1.5707963267948966,5,[0.66249975]
