,angle,distance,energy
12,1.5707963267948966,3,[0.35847138]
13,1.5707963267948966,4,[0.34983433]
14,1.5707963267948966,5,[0.34236571]
15,4.71238898038469,1,[0.40458652]
16,4.71238898038469,2,[0.37163331]
17,4.71238898038469,3,[0.35847138]
18,4.71238898038469,4,[0.34983433]
19,4.71238898038469,5,[0.34236571]
0,0.0,1,[0.24982709]
1,0.0,2,[0.20872961]
2,0.0,3,[0.18781689]
3,0.0,4,[0.17597689]
4,0.0,5,[0.16838351]
5,0.7853981633974483,1,[0.22507396]
6,0.7853981633974483,2,[0.22507396]
7,0.7853981633974483,3,[0.19499701]
8,0.7853981633974483,4,[0.18305373]
9,0.7853981633974483,5,[0.17494108]
10,1.5707963267948966,1,[0.23913198]
11,1.5707963267948966,2,[0.20694465]
12,1.5707963267948966,3,[0.1947907]
13,1.5707963267948966,4,[0.18793084]
14,1.5707963267948966,5,[0.183017]
15,4.71238898038469,1,[0.23913198]
16,4.71238898038469,2,[0.20694465]
17,4.71238898038469,3,[0.1947907]
18,4.71238898038469,4,[0.18793084]
19,4.71238898038469,5,[0.183017]
0,0.0,1,[0.73109109]
1,0.0,2,[0.72627764]
2,0.0,3,[0.72268252]
3,0.0,4,[0.71933439]
4,0.0,5,[0.71620012]
5,0.7853981633974483,1,[0.72925486]
6,0.7853981633974483,2,[0.72925486]
7,0.7853981633974483,3,[0.72129084]
8,0.7853981633974483,4,[0.71399635]
9,0.7853981633974483,5,[0.70672839]
10,1.5707963267948966,1,[0.73162324]
11,1.5707963267948966,2,[0.72624741]
12,1.5707963267948966,3,[0.72252235]
13,1.5707963267948966,4,[0.71914222]
14,1.5707963267948966,5,[0.7158298]
15,4.71238898038469,1,[0.73162324]
16,4.71238898038469,2,[0.72624741]
17,4.71238898038469,3,[0.72252235]
18,4.71238898038469,4,[0.71914222]
19,4.71238898038469,5,[0.7158298]
0,0.0,1,[0.52535712]
1,0.0,2,[0.50119834]
2,0.0,3,[0.49686894]
3,0.0,4,[0.49445204]
4,0.0,5,[0.49299159]
5,0.7853981633974483,1,[0.53407973]
6,0.7853981633974483,2,[0.53407973]
7,0.7853981633974483,3,[0.51027256]
8,0.7853981633974483,4,[0.50129967]
9,0.7853981633974483,5,[0.49267178]
10,1.5707963267948966,1,[0.54928315]
11,1.5707963267948966,2,[0.51151252]
12,1.5707963267948966,3,[0.4989791]
13,1.5707963267948966,4,[0.49323103]
14,1.5707963267948966,5,[0.48969696]
15,4.71238898038469,1,[0.54928315]
16,4.71238898038469,2,[0.51151252]
17,4.71238898038469,3,[0.4989791]
18,4.71238898038469,4,[0.49323103]
19,4.71238898038469,5,[0.48969696]
